trade_date,pnl,mktv,cash,trade_value,booksize
20190513,62145.00000000001,1061258.0,387.44350000014373,0.0,1061645.4435
20190514,64343.00000000004,1063456.0,387.44350000014373,0.0,1063843.4435
20190515,90785.00000000003,1089898.0,387.44350000014373,0.0,1090285.4435
20190516,99015.00000000001,1098128.0,387.44350000014373,0.0,1098515.4435
20190517,71975.00000000001,1071088.0,387.44350000014373,0.0,1071475.4435
20190520,63575.000000000044,1062688.0,387.44350000014373,0.0,1063075.4435
20190521,84083.00000000006,1083196.0,387.44350000014373,0.0,1083583.4435
20190522,78301.00000000003,1078800.0,387.44350000014373,0.0,1079187.4435
20190523,58298.00000000003,1058797.0,387.44350000014373,0.0,1059184.4435
20190524,66484.00000000003,1066983.0,387.44350000014373,0.0,1067370.4435
20190527,74460.00000000001,1074959.0,387.44350000014373,0.0,1075346.4435
20190528,81636.00000000004,1082135.0,387.44350000014373,0.0,1082522.4435
20190529,71917.00000000004,1072416.0,387.44350000014373,0.0,1072803.4435
20190530,66044.00000000001,1066543.0,387.44350000014373,0.0,1066930.4435
20190531,62638.000000000044,1062630.0,894.6970000001397,-507.0,1063524.6970000002
20190603,55207.00000000002,1055199.0,894.6970000001397,0.0,1056093.6970000002
20190604,47496.00000000006,1047488.0,894.6970000001397,0.0,1048382.6970000002
20190605,47036.000000000044,1047028.0,894.6970000001397,0.0,1047922.6970000002
20190606,38523.000000000015,1038515.0,894.6970000001397,0.0,1039409.6970000002
20190610,52105.000000000044,1052097.0,894.6970000001397,0.0,1052991.6970000002
20190611,80524.00000000007,1080516.0,894.6970000001397,0.0,1081410.6970000002
20190612,77410.00000000004,1077402.0,894.6970000001397,0.0,1078296.6970000002
20190613,81405.00000000004,1081397.0,894.6970000001397,0.0,1082291.6970000002
20190614,72160.00000000004,1072152.0,894.6970000001397,0.0,1073046.6970000002
20190617,76228.00000000009,1076220.0,894.6970000001397,0.0,1077114.6970000002
20190618,80875.00000000006,1080867.0,894.6970000001397,0.0,1081761.6970000002
20190619,94600.00000000001,1094592.0,894.6970000001397,0.0,1095486.6970000002
20190620,126354.00000000007,1126346.0,894.6970000001397,0.0,1127240.6970000002
20190621,122506.00000000006,1122498.0,894.6970000001397,0.0,1123392.6970000002
20190624,128201.00000000006,1128193.0,894.6970000001397,0.0,1129087.6970000002
20190625,114097.00000000007,1114089.0,894.6970000001397,0.0,1114983.6970000002
20190626,114508.00000000004,1114500.0,894.6970000001397,0.0,1115394.6970000002
20190627,126526.00000000009,1126518.0,894.6970000001397,0.0,1127412.6970000002
20190628,119837.00000000001,1119829.0,894.6970000001397,0.0,1120723.6970000002
20190701,142991.00000000006,1143877.0,0.25000000016007107,894.0,1143877.2500000002
20190702,152473.0,1153359.0,0.25000000016007107,0.0,1153359.2500000002
20190703,150169.00000000003,1151055.0,0.25000000016007107,0.0,1151055.2500000002
20190704,150518.0,1151404.0,0.25000000016007107,0.0,1151404.2500000002
20190705,149350.00000000003,1150236.0,0.25000000016007107,0.0,1150236.2500000002
