trade_date,total_pnl,mktv,cash_remained,trade_value,booksize
2019-02-28,97644.99999999999,1091315.0,4342.660000000065,-2382.0,1095657.6600000001
2019-03-01,124849.00000000001,1118519.0,4342.660000000065,0.0,1122861.6600000001
2019-03-04,130974.0,1124644.0,4342.660000000065,0.0,1128986.6600000001
2019-03-05,136599.0,1130269.0,4342.660000000065,0.0,1134611.6600000001
2019-03-06,145449.00000000003,1139119.0,4342.660000000065,0.0,1143461.6600000001
2019-03-07,129842.00000000003,1123512.0,4342.660000000065,0.0,1127854.6600000001
2019-03-08,77687.0,1071357.0,4342.660000000065,0.0,1075699.6600000001
2019-03-11,89262.00000000001,1082932.0,4342.660000000065,0.0,1087274.6600000001
2019-03-12,100826.0,1094496.0,4342.660000000065,0.0,1098838.6600000001
2019-03-13,94204.00000000003,1087874.0,4342.660000000065,0.0,1092216.6600000001
2019-03-14,95055.00000000006,1088725.0,4342.660000000065,0.0,1093067.6600000001
2019-03-15,98764.00000000003,1092434.0,4342.660000000065,0.0,1096776.6600000001
2019-03-18,120833.00000000004,1114503.0,4342.660000000065,0.0,1118845.6600000001
2019-03-19,116154.00000000001,1109824.0,4342.660000000065,0.0,1114166.6600000001
2019-03-20,117307.00000000001,1110977.0,4342.660000000065,0.0,1115319.6600000001
2019-03-21,109561.00000000006,1103231.0,4342.660000000065,0.0,1107573.6600000001
2019-03-22,104161.00000000003,1097831.0,4342.660000000065,0.0,1102173.6600000001
2019-03-25,72021.00000000003,1065691.0,4342.660000000065,0.0,1070033.6600000001
2019-03-26,61694.00000000004,1055364.0,4342.660000000065,0.0,1059706.6600000001
2019-03-27,71478.0,1065148.0,4342.660000000065,0.0,1069490.6600000001
2019-03-28,65943.00000000003,1059613.0,4342.660000000065,0.0,1063955.6600000001
2019-03-29,98854.00000000006,1092524.0,4342.660000000065,0.0,1096866.6600000001
2019-04-01,123280.00000000001,1008478.0,113031.604,-108472.0,1121509.604
2019-04-02,128876.00000000001,1014074.0,113031.604,0.0,1127105.604
2019-04-03,143516.00000000003,1028714.0,113031.604,0.0,1141745.604
2019-04-04,164284.00000000006,1049482.0,113031.604,0.0,1162513.604
2019-04-08,175253.00000000003,1060451.0,113031.604,0.0,1173482.604
2019-04-09,166354.00000000003,1051552.0,113031.604,0.0,1164583.604
2019-04-10,166493.0,1051691.0,113031.604,0.0,1164722.604
2019-04-11,140499.0,1025697.0,113031.604,0.0,1138728.604
2019-04-12,135687.00000000003,1020885.0,113031.604,0.0,1133916.604
2019-04-15,135842.00000000003,1021040.0,113031.604,0.0,1134071.604
2019-04-16,171958.0,1057156.0,113031.604,0.0,1170187.604
2019-04-17,171105.0,1056303.0,113031.604,0.0,1169334.604
2019-04-18,164755.00000000003,1049953.0,113031.604,0.0,1162984.604
2019-04-19,178778.00000000006,1063976.0,113031.604,0.0,1177007.604
2019-04-22,144332.0,1029530.0,113031.604,0.0,1142561.604
2019-04-23,141186.00000000006,1026384.0,113031.604,0.0,1139415.604
2019-04-24,148021.00000000003,1033219.0,113031.604,0.0,1146250.604
2019-04-25,124317.00000000004,1009515.0,113031.604,0.0,1122546.604
2019-04-26,101808.00000000001,987006.0,113031.604,0.0,1100037.604
2019-04-29,112664.00000000001,997862.0,113031.604,0.0,1110893.604
2019-04-30,119592.00000000003,1116406.0,1192.3719999999894,111616.0,1117598.372
2019-05-06,62106.00000000004,1058920.0,1192.3719999999894,0.0,1060112.372
2019-05-07,76035.00000000001,1072849.0,1192.3719999999894,0.0,1074041.372
2019-05-08,59291.00000000004,1056105.0,1192.3719999999894,0.0,1057297.372
2019-05-09,40652.00000000001,1037466.0,1192.3719999999894,0.0,1038658.372
2019-05-10,71694.00000000001,1068508.0,1192.3719999999894,0.0,1069700.372
2019-05-13,61960.000000000015,1058774.0,1192.3719999999894,0.0,1059966.372
2019-05-14,64211.000000000044,1061025.0,1192.3719999999894,0.0,1062217.372
2019-05-15,90497.00000000003,1087311.0,1192.3719999999894,0.0,1088503.372
2019-05-16,98872.00000000001,1095686.0,1192.3719999999894,0.0,1096878.372
2019-05-17,71855.00000000001,1068669.0,1192.3719999999894,0.0,1069861.372
2019-05-20,63626.000000000065,1060440.0,1192.3719999999894,0.0,1061632.372
2019-05-21,84108.00000000004,1080922.0,1192.3719999999894,0.0,1082114.372
2019-05-22,78231.00000000004,1076431.0,1192.3719999999894,0.0,1077623.372
2019-05-23,58366.00000000004,1056566.0,1192.3719999999894,0.0,1057758.372
2019-05-24,66396.00000000003,1064596.0,1192.3719999999894,0.0,1065788.372
2019-05-27,74469.00000000001,1072669.0,1192.3719999999894,0.0,1073861.372
2019-05-28,81555.00000000004,1079755.0,1192.3719999999894,0.0,1080947.372
2019-05-29,71978.00000000003,1070178.0,1192.3719999999894,0.0,1071370.372
2019-05-30,66185.00000000001,1064385.0,1192.3719999999894,0.0,1065577.372
2019-05-31,62787.00000000004,1060987.0,1192.3719999999894,0.0,1062179.372
